Name,Title,Department
Ines Prainsack,Cabinet member,"('Stella Kyriakides',)"
Ingrid Godkin,Cabinet member,"('Dubravka Šuica',)"
Antonia Curdo,Cabinet member,"('Dubravka Šuica',)"
Tina Strafela,Cabinet member,"('Janez Lenarčič',)"
Cécile Billaux,Cabinet member,"('Phil Hogan',)"
Stephen Quest,Director-General,"('Iliana Ivanova',)"
Thierry Breton,Commissioner,"('Nicolas Schmit', 'Thierry Breton')"
Antoine Kasel,Cabinet member,"('Nicolas Schmit', 'Thierry Breton')"
Nicolas Schmit,Commissioner,"('Nicolas Schmit', 'Thierry Breton')"
Katri Teedumae,Cabinet member,"('Olivér Várhelyi',)"
Maja Kocijancic,Cabinet member,"('Olivér Várhelyi',)"
Monique Pariat,Director-General,"('Ylva Johansson',)"
Charmaine Hili,Cabinet member,"('Ursula von der Leyen',)"
Renáta Goldírová,Cabinet member,"('Maroš Šefčovič',)"
Sonia Vila Nunez,Cabinet member,"('Ursula von der Leyen',)"
Bjoern Seibert,Cabinet member,"('Ursula von der Leyen',)"
Nicole Dewandre,Cabinet member,"('Ursula von der Leyen',)"
Peteris Ustubs,Cabinet member,"('Ursula von der Leyen',)"
Mary Veronica Tovsak Pleterski,Cabinet member,"('Ursula von der Leyen',)"
Pedro MOIA,Cabinet member,"('Elisa Ferreira',)"
Hanna Jahns,Cabinet member,"('Johannes Hahn',)"
Diana Montero Melis,Cabinet member,"('Stella Kyriakides', 'Jutta Urpilainen')"
Roberto Reig Rodrigo,Cabinet member,"('Stella Kyriakides', 'Jutta Urpilainen')"
Annukka Ojala,Cabinet member,"('Stella Kyriakides', 'Frans Timmermans')"
Andrea Nahles,Cabinet member,"('Nicolas Schmit',)"
Mario Nava,Director-General,"('Elisa Ferreira',)"
Helena Braun,Cabinet member,"('Stella Kyriakides', 'Frans Timmermans')"
Daniel Mes,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Helena Hinto,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Gerassimos Thomas,Director-General,"('Paolo Gentiloni',)"
Ralf Kuhne,Cabinet member,"('Stella Kyriakides',)"
Florika Fink-Hooijer,Director-General,"('Virginijus Sinkevičius',)"
Christina Holm Eiberg,Cabinet member,"('Margrethe Vestager',)"
Celine Gauer,Head of Task Force,"('Ursula von der Leyen',)"
Margrethe Vestager,Executive Vice-President,"('Ursula von der Leyen', 'Margrethe Vestager')"
Werner Stengg,Cabinet member,"('Ursula von der Leyen', 'Margrethe Vestager')"
Roberta Torre,Cabinet member,"('Paolo Gentiloni',)"
Florian Denis,Cabinet member,"('Mairead Mcguinness',)"
Nathalie De Basaldua Lemarchand,Cabinet member,"('Mairead Mcguinness',)"
Katherine Power,Cabinet member,"('Mairead Mcguinness',)"
Johannes Noack,Cabinet member,"('Johannes Hahn',)"
Mateja Munda,Cabinet member,"('Janez Lenarčič',)"
Lucrezia Busa,Cabinet member,"('Thierry Breton', 'Didier Reynders')"
Filomena Chirico,Cabinet member,"('Thierry Breton', 'Didier Reynders')"
Karolina Herbout-Borczak,Cabinet member,"('Stella Kyriakides', 'Ursula von der Leyen')"
Kurt Vandenberghe,Cabinet member,"('Stella Kyriakides', 'Ursula von der Leyen')"
Andrea Beltramello,Cabinet member,"('Valdis Dombrovskis', 'Mairead Mcguinness')"
Katherine Power,Cabinet member,"('Valdis Dombrovskis', 'Mairead Mcguinness')"
Agnieszka Drzewoska,Cabinet member,"('Mairead Mcguinness',)"
Tommy De Temmerman,Cabinet member,"('Mairead Mcguinness',)"
Nicolas Hazard,Cabinet member,"('Nicolas Schmit',)"
Mairead McGuinness,Commissioner,"('Mairead Mcguinness',)"
Peter Power,Cabinet member,"('Mairead Mcguinness',)"
Alvaro De Elera,Cabinet member,"('Věra Jourová',)"
Deirdre O’Hea,Cabinet member,"('Mairead Mcguinness',)"
Kadri Simson,Commissioner,"('Thierry Breton', 'Kadri Simson')"
Laure Chapuis-Kombos,Cabinet member,"('Thierry Breton', 'Kadri Simson')"
Stefano Grassi,Cabinet member,"('Thierry Breton', 'Kadri Simson')"
Thor-Sten Vertmann,Cabinet member,"('Thierry Breton', 'Kadri Simson')"
Thierry Breton,Commissioner,"('Thierry Breton', 'Kadri Simson')"
Eszter Batta,Cabinet member,"('Thierry Breton', 'Kadri Simson')"
Laurent Bontoux,Cabinet member,"('Maroš Šefčovič',)"
Cristina Rueda Catry,Cabinet member,"('Valdis Dombrovskis',)"
Jori Keijsper,Cabinet member,"('Frans Timmermans',)"
Toma Sutic,Cabinet member,"('Dubravka Šuica',)"
Daphne von Buxhoeveden,Cabinet member,"('Stella Kyriakides',)"
Hannah O’Kane,Cabinet member,"('Mairead Mcguinness',)"
Joan Canton,Cabinet member,"('Thierry Breton',)"
Sandra Gallina,Director-General,"('Stella Kyriakides',)"
Cristina Rueda Catry,Cabinet member,"('Valdis Dombrovskis', 'Jutta Urpilainen')"
Andrea Beltramello,Cabinet member,"('Valdis Dombrovskis', 'Jutta Urpilainen')"
Diana Montero Melis,Cabinet member,"('Valdis Dombrovskis', 'Jutta Urpilainen')"
Antoine Colombani,Cabinet member,"('Frans Timmermans', 'Valdis Dombrovskis')"
Andrea Beltramello,Cabinet member,"('Frans Timmermans', 'Valdis Dombrovskis')"
Rachel Smit,Cabinet member,"('Adina Vălean',)"
Natasa Athanasiadou,Cabinet member,"('Johannes Hahn',)"
Jose Antonio Vieira Da Silva,Cabinet member,"('Nicolas Schmit',)"
Agne Razmislaviciute-Palioniene,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius')"
Ruben Alexander Schuster,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius')"
Carmen Preising,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius')"
Eglantine Cujo,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius')"
Ivana McDowell,Cabinet member,"('Nicolas Schmit',)"
Kevin Keary,Cabinet member,"('Valdis Dombrovskis',)"
Eszter Batta,Cabinet member,"('Frans Timmermans', 'Thierry Breton')"
Joan Canton,Cabinet member,"('Frans Timmermans', 'Thierry Breton')"
Antoine Colombani,Cabinet member,"('Frans Timmermans', 'Thierry Breton')"
