,Name of cabinet,Name of DG,EC member,Title of EC representative,Date,TR ID,Name of interest representative,Location,Subject
11381,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Adam Romanowski',)","('Cabinet member',)",09/27/22,"('645370511725-71',)",ERAMET,Brussels,critical raw materials
11386,[],['Competition'],"('Olivier Guersent',)","('Director-General',)",09/27/22,"('94857385769-70',)",AIR LIQUIDE,Brussels,"discussion on ipcei, hydrogen"
11387,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",09/27/22,"('94857385769-70',)",AIR LIQUIDE,Brussels,"meeting with the (deputy) dgsl of comp, ener and clima, a delegation of the european round table for industry (ert) on role and specificities of hydrogen in the eu's energy mix, opportunities for europe to decarbonise industry and transport"
11402,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",09/28/22,"('785157016077-28',)",Asociación Española de Banca,Brussels,basel implementation and open finance
11403,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Nathalie De Basaldua Lemarchand', 'Tommy De Temmerman')","('Cabinet member', 'Cabinet member')",09/28/22,"('785157016077-28',)",Asociación Española de Banca,Brussels,"basel, digital euro"
11404,[],['Justice and Consumers'],"('Ana Gallego',)","('Director-General',)",09/28/22,"('785157016077-28',)",Asociación Española de Banca,Brussels,challenges in the banking sector
11405,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Pierre-Arnaud Proux', 'Stina Soewarta')","('Cabinet member', 'Cabinet member')",09/28/22,"('785157016077-28',)",Asociación Española de Banca,Brussels,"digital policies, artificial intelligence and data economy."
11416,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello',)","('Cabinet member',)",09/29/22,"('34369111614-57',)",Société Générale,BERL,"crisis management and deposit insurance, basel iii implementation"
11417,['Cabinet of President Ursula von der Leyen'],[],"('Valeria Miceli',)","('Cabinet member',)",09/29/22,"('34369111614-57',)",Société Générale,Brussels,"share thoughts on recent trends in esg and energy related matters, but also expand on securitization or take stock of the banking package file"
11441,['Cabinet of Commissioner Thierry Breton'],[],"('Eszter Batta',)","('Cabinet member',)",09/30/22,"('421495541254-57',)",European Solar Manufacturing Council,"Brussels, Belgium",preparation of the solar alliance
11442,['Cabinet of Commissioner Kadri Simson'],[],"('Barbara GLOWACKA',)","('Cabinet member',)",09/30/22,"('421495541254-57',)",European Solar Manufacturing Council,Video Conferencing,to discuss some inputs to the forthcoming eu solar pv industry alliance.
11443,['Cabinet of Commissioner Kadri Simson'],[],"('Tatiana Marquez Uriarte',)","('Cabinet member',)",09/30/22,"('438257432313-42',)",European Energy Retailers - Network of Independent Energy and Solution Providers,Brussels,"electricity internal market (notably the discussion on the market design reform)
gas internal market and security of supply / gas savings
energy system integration follow up (including hydrogen)
energy taxation"
11444,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Florian Denis', 'Katherine Power')","('Cabinet member', 'Cabinet member')",09/30/22,"('438257432313-42',)",European Energy Retailers - Network of Independent Energy and Solution Providers,"Brussels, Belgium ",energy crisis
11457,['Cabinet of Commissioner Kadri Simson'],[],"('Kadri Simson', 'Peeter Kadarik')","('Commissioner', 'Cabinet member')",10/03/22,"('0801162959-21',)",Microsoft Corporation,Brussels ,action plan for the digitalisation of the energy sector.
11458,['Cabinet of Commissioner Ylva Johansson'],[],"('Monika Maglione', 'Ylva Johansson')","('Cabinet member', 'Commissioner')",10/03/22,"('0801162959-21',)",Microsoft Corporation,Brussels,exchange of views on csa
11459,['Cabinet of Commissioner Ylva Johansson'],[],"('Ylva Johansson',)","('Commissioner',)",10/03/22,"('0801162959-21',)",Microsoft Corporation,"Brussels, Belgium","meeting with mr brad smith, ceo of microsoft. 
topics discussed - csa and other digital topics from commissioner johansson portfolio"
11491,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Caroline Boeshertz',)","('Cabinet member',)",10/05/22,"('932274339872-30',)",Ball Beverage Packaging Europe Limited,BERL ,aluminum packaging
11492,['Cabinet of Commissioner Elisa Ferreira'],[],"('Wioletta Dunin-Majewska',)","('Cabinet member',)",10/05/22,"('932274339872-30',)",Ball Beverage Packaging Europe Limited,Brussels,circularity of packaging and cohesion policy support for sustainable recycling.
11497,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",10/06/22,"('0649790813-47',)",Association des Constructeurs Européens d'Automobiles,Brussels,acea autumn reception
11498,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Adam Romanowski', 'Maroš Šefčovič')","('Cabinet member', 'Executive Vice-President')",10/06/22,"('0649790813-47',)",Association des Constructeurs Européens d'Automobiles,Brussels,decarbonisation of the automotive sector
11499,[],['Trade'],"('Sabine Weyand',)","('Director-General',)",10/06/22,"('0649790813-47',)",Association des Constructeurs Européens d'Automobiles,Brussels,"supply chain, market access."
11554,['Cabinet of Commissioner Thierry Breton'],[],"('Eszter Batta',)","('Cabinet member',)",10/11/22,"('03181945560-59',)",Google,"Brussels, Berlaymont",digitals tools for greening other industrial sectors
11555,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",10/11/22,"('03181945560-59',)",Google,Brussels,"google sustainability summit ""technology and partnership accelerating climate action"": speech on digital for european green deal"
11563,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Gints Freimanis', 'Caroline Boeshertz')","('Cabinet member', 'Cabinet member')",10/11/22,"('191319744634-58',)",Stegra (formerly H2GS AB),BERL ,"fit for 55, cbam"
11564,['Cabinet of President Ursula von der Leyen'],[],"('Kurt Vandenberghe',)","('Cabinet member',)",10/11/22,"('191319744634-58',)",Stegra (formerly H2GS AB),Brussels,"how the eu can continue supporting the green deal and the climate transition in europe despite the horrific invasion of ukraine and its different effects on the european economy and european companies, fitfor55, ets, cbam and red"
11565,['Cabinet of Commissioner Thierry Breton'],[],"('Joan Canton',)","('Cabinet member',)",10/11/22,"('191319744634-58',)",Stegra (formerly H2GS AB),"Brussels, Belgium",overview of developments in the hydrogen sector
11566,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Anne Funch Jensen', 'Stina Soewarta')","('Cabinet member', 'Cabinet member')",10/11/22,"('191319744634-58',)",Stegra (formerly H2GS AB),Brussels,state aid and greening of the steel sector.
11576,['Cabinet of Vice-President Věra Jourová'],[],"('Renate Nikolay',)","('Cabinet member',)",10/11/22,"('52431421-12',)","Telefonica, S.A.",Brussels,digital issues
11577,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Christiane Canenbley', 'Werner Stengg')","('Cabinet member', 'Cabinet member')",10/11/22,"('52431421-12',)","Telefonica, S.A.",Brussels,"european digital path 2030, connectivity  industry, telco edge cloud, open ran."
11578,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Christiane Canenbley', 'Penelope Papandropoulos', 'Werner Stengg')","('Cabinet member', 'Cabinet member', 'Cabinet member')",10/11/22,"('52431421-12',)","Telefonica, S.A.",Brussels,"telecoms, competition policies"
11603,[],['Trade'],"('Sabine Weyand',)","('Director-General',)",10/12/22,"('2732167674-76',)",Airbus,Brussels,current worldwide trade situation and topics more specifics to airbus
11604,[],['Defence Industry and Space'],"('Timo Pesonen',)","('Director-General',)",10/12/22,"('2732167674-76',)",Airbus,Brussels,the meeting focused on defence issues as well as skills and raw materials.
11607,['Cabinet of President Ursula von der Leyen'],[],"('Valeria Miceli',)","('Cabinet member',)",10/12/22,"('35147251117-11',)",Crédit Agricole S.A.,Brussels - Berlaymont,"1) bank crisis management deposit insurance proposal
2) negotiations on the basel proposal
3) sustainable finance agenda
4) digital euro set up"
11608,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello', 'Michael Hager')","('Cabinet member', 'Cabinet member')",10/12/22,"('35147251117-11',)",Crédit Agricole S.A.,BERL ,banking union
11610,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Florian Denis',)","('Cabinet member',)",10/12/22,"('389356530261-76',)","Stripe, Inc.",Brussels,"digital finance
payments"
11611,['Cabinet of Commissioner Mariya Gabriel'],[],"('Mariya Gabriel',)","('Commissioner',)",10/12/22,"('389356530261-76',)","Stripe, Inc.",Brussels,european innovation agenda
11612,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello',)","('Cabinet member',)",10/12/22,"('389356530261-76',)","Stripe, Inc.",BERL ,payments services
11613,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",10/12/22,"('389356530261-76',)","Stripe, Inc.",online,"presentation of the company, artificial intelligence"
11614,['Cabinet of Commissioner Thierry Breton'],"['Communications Networks, Content and Technology']","('Filomena Chirico', 'Roberto Viola')","('Cabinet member', 'Director-General')",10/12/22,"('389356530261-76',)","Stripe, Inc.",Videoconference,start-ups
11621,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Dimitri Lorenzani',)","('Cabinet member',)",10/12/22,"('569885924378-48',)",SOLAR IMPULSE FOUNDATION,Brussels,discussion on strategic foresight
11622,[],['Regional and Urban Policy'],"('Marc Lemaître',)","('Director-General',)",10/12/22,"('569885924378-48',)",SOLAR IMPULSE FOUNDATION,"Brussels, Belgium","presentation by bertrand piccard of the solar impulse foundation and its ""solutions for cities"" initiative launched during the european week of regions and cities."
11623,['Cabinet of Commissioner Elisa Ferreira'],[],"('Wioletta Dunin-Majewska',)","('Cabinet member',)",10/12/22,"('569885924378-48',)",SOLAR IMPULSE FOUNDATION,Brussels,"solutions for decarbonisation for municipalities and cities, identifying the missing links."
11710,['Cabinet of Commissioner Johannes Hahn'],[],"('Johannes Hahn', 'David Mueller')","('Commissioner', 'Cabinet member')",10/19/22,"('89093924456-06',)",Vereinigung der österreichischen Industrie - Industriellenvereinigung,Brussels,dinner exchange on current economic developments with representatives of austrian business sectors.
11711,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Pierre-Arnaud Proux', 'Stina Soewarta')","('Cabinet member', 'Cabinet member')",10/19/22,"('89093924456-06',)",Vereinigung der österreichischen Industrie - Industriellenvereinigung,Brussels,"eu chips act, smei, industrial strategy."
11756,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Dimitri Lorenzani', 'Renáta Goldírová')","('Cabinet member', 'Cabinet member')",10/24/22,"('567538843366-43',)",World Economic Forum,Videoconference,preparation davos forum
11757,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Mairead McGuinness', 'Katherine Power')","('Commissioner', 'Cabinet member')",10/24/22,"('567538843366-43',)",World Economic Forum,Online meeting,speech and stakeholder discussion on esg reporting
11765,['Cabinet of Commissioner Didier Reynders'],[],"('Lucrezia Busa', 'Didier Reynders')","('Cabinet member', 'Commissioner')",10/25/22,"('03181945560-59',)",Google,Brussels,"data protection, hate speech online and the code of conduct, ai liability directive, ai regulation and ukraine."
11766,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová',)","('Vice-President',)",10/25/22,"('03181945560-59',)",Google,Brussels,"fighting disinformation, european media freedom act"
11767,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Christiane Canenbley', 'Werner Stengg')","('Cabinet member', 'Cabinet member')",10/25/22,"('03181945560-59',)",Google,Brussels,"platform regulation, cybersecurity, data."
11773,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Valdis Dombrovskis ',)","('Executive Vice-President',)",10/25/22,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,video conference,"- energy prices in the eu and impact on competitiveness
- eu-us relations, including the inflation reduction act and preparations of the 3rd ttc
- fta agenda
- eu's legislative agenda and its cumulative burden on businesses"
11774,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Pierre-Arnaud Proux', 'Margrethe Vestager')","('Cabinet member', 'Executive Vice-President')",10/25/22,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Brussels,"data act, smei"
11775,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Carsten Schierenbeck',)","('Cabinet member',)",10/25/22,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Brussels,discussion on european sovereignty and critical raw materials
11787,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power', 'Patricia Reilly')","('Cabinet member', 'Cabinet member')",10/25/22,"('38870176589-43',)",TUSIAD-Turkish Industry&Business Association,Brussels,eu turkish business relations
11788,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Tuure Taneli Lahti',)","('Cabinet member',)",10/25/22,"('38870176589-43',)",TUSIAD-Turkish Industry&Business Association,Brussels,global gateway
11790,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Michele Piergiovanni', 'Penelope Papandropoulos')","('Cabinet member', 'Cabinet member')",10/25/22,"('40386322300-77',)",eBay EU liaison office,Brusseòs,competition policies
11791,['Cabinet of Commissioner Didier Reynders'],[],"('Geneviève Tuts',)","('Cabinet member',)",10/25/22,"('40386322300-77',)",eBay EU liaison office,Brussels,"general product safety regulation
empowering consumers for the green transition
sustainable consumption of goods, promoting repair and reuse
commitment of ebay the product safety pledge and possible participation to sustainable consumption pledge"
11803,[],['Trade'],"('Sabine Weyand',)","('Director-General',)",10/25/22,"('65744846168-89',)",Danone,Brussels,food security and sanctions
11804,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Rozalina Petrova', 'Virginijus Sinkevičius')","('Cabinet member', 'Commissioner')",10/25/22,"('65744846168-89',)",Danone,online,"to exchange on leveraging solutions to ensure food security, while maintaining sustainable growth and achieving the green deal objectives"
11825,['Cabinet of Commissioner Thierry Breton'],[],"('Agnieszka Skonieczna',)","('Cabinet member',)",10/26/22,"('317259347794-40',)",Satispay Europe SA,Brussels,"digital single market, digital payments, smes, digital euro"
11826,['Cabinet of President Ursula von der Leyen'],[],"('Valeria Miceli',)","('Cabinet member',)",10/26/22,"('317259347794-40',)",Satispay Europe SA,Brussels - BERL,satispay presented their business model and market situation. it supports an efficient and integrated market for eu payment services. satispay supports the instant payments proposal and looks forward to the review of the payment service directive
11850,['Cabinet of Commissioner Janusz Wojciechowski'],[],"('Maciej Golubiewski',)","('Cabinet member',)",10/27/22,"('3523776801-85',)",Bayer AG,Brussels,hocs meeting with senior vp bayer ag
11851,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Lukas Visek',)","('Cabinet member',)",10/27/22,"('3523776801-85',)",Bayer AG,Brussels,sustainable food systems
11907,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Lukas Visek',)","('Cabinet member',)",11/08/22,"('00723343929-96',)",Health & Environment Alliance,video-call,air quality
11908,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Elena Montani',)","('Cabinet member',)",11/08/22,"('00723343929-96',)",Health & Environment Alliance,Virtual,reaction on aaqd
11913,"['Cabinet of Commissioner Thierry Breton', 'Cabinet of Commissioner Mairead Mcguinness', 'Cabinet of Executive Vice-President Valdis Dombrovskis']",[],"('Agnieszka Skonieczna', 'Florian Denis', 'Andrea Beltramello')","('Cabinet member', 'Cabinet member', 'Cabinet member')",11/08/22,"('0764199368-97',)",Bundesverband deutscher Banken e.V.,Brussels,digital euro
11914,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power',)","('Cabinet member',)",11/08/22,"('0764199368-97',)",Bundesverband deutscher Banken e.V.,Online meeting,sustainable finance
11915,['Cabinet of Commissioner Kadri Simson'],[],"('Thor-Sten Vertmann',)","('Cabinet member',)",11/08/22,"('09571422185-81',)",VERBUND AG,Brussels,"- renewable hydrogen
- electricity market design"
11916,['Cabinet of Commissioner Johannes Hahn'],[],"('David Mueller', 'Barbara Herbolzheimer')","('Cabinet member', 'Cabinet member')",11/08/22,"('09571422185-81',)",VERBUND AG,Brussels,current economic developments
11921,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman', 'Mairead McGuinness')","('Cabinet member', 'Commissioner')",11/08/22,"('33858106461-10',)",Raiffeisen Bank International AG,Brussels,"economic situation, crisis management, basel iii"
11922,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",11/08/22,"('33858106461-10',)",Raiffeisen Bank International AG,Brussels,sanctions and basel iii
11947,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová',)","('Vice-President',)",11/09/22,"('162711719247-82',)",B'nai B'rith International,Brussels,"antisemitism, disinformation"
11948,['Cabinet of Commissioner Olivér Várhelyi'],[],"('Olivér Várhelyi',)","('Commissioner',)",11/09/22,"('162711719247-82',)",B'nai B'rith International,Brussels,eu strategy on combatting anti-semitism and fostering jewish life
11958,['Cabinet of Commissioner Stella Kyriakides'],[],"('Giorgios Rossides', 'Karolina Herbout-Borczak')","('Cabinet member', 'Cabinet member')",11/09/22,"('48325781850-28',)",MEDICINES FOR EUROPE,On line,exchange of views on the pharma reform
11959,['Cabinet of Vice-President Margaritis Schinas'],[],"('Maria Luisa Llano Cardenal', 'Despina Spanou')","('Cabinet member', 'Cabinet member')",11/09/22,"('48325781850-28',)",MEDICINES FOR EUROPE,Online,pharma strategy
11968,[],['Energy'],"('Ditte Juul Jørgensen',)","('Director-General',)",11/09/22,"('9505781573-45',)",Bureau Européen des Unions de Consommateurs,videoconference,"consumer rights and interests, energy savings"
11969,['Cabinet of Commissioner Thierry Breton'],[],"('Maurits-Jan Prinz',)","('Cabinet member',)",11/09/22,"('9505781573-45',)",Bureau Européen des Unions de Consommateurs,Brussels,eu standardisation strategy
11977,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",11/10/22,"('248751637333-26',)",The Wallenberg Investments AB,Brussels,discuss european competitiveness in advance of the swedish eu presidency
11978,[],['Budget'],"('Gert-Jan Koopman',)","('Director-General',)",11/10/22,"('248751637333-26',)",The Wallenberg Investments AB,Brussels,eu finance
11982,['Cabinet of President Ursula von der Leyen'],[],"('Ursula von der Leyen',)","('President',)",11/10/22,"('3978240953-79',)",BUSINESSEUROPE,"Brussels, Belgium","business dialogue on energy crisis and energy investments, competitiveness, diversification of supplies, global partnerships and innovation"
11983,"['Cabinet of Executive Vice-President Margrethe Vestager', 'Cabinet of Executive Vice-President Valdis Dombrovskis']",[],"('Margrethe Vestager', 'Pierre-Arnaud Proux', 'Cristina Rueda Catry', 'Valdis Dombrovskis ', 'Mirzha De Manuel', 'Caroline Boeshertz')","('Executive Vice-President', 'Cabinet member', 'Cabinet member', 'Executive Vice-President', 'Cabinet member', 'Cabinet member')",11/10/22,"('3978240953-79',)",BUSINESSEUROPE,Brussels,"economic outlook, trade policy, economic crisis response."
11986,['Cabinet of Commissioner Thierry Breton'],[],"('Maurits-Jan Prinz',)","('Cabinet member',)",11/10/22,"('48325781850-28',)",MEDICINES FOR EUROPE,Brussels,eu strategic autonomy for the production of active pharmaceutical ingredients
11987,['Cabinet of Commissioner Thierry Breton'],[],"('Maurits-Jan Prinz',)","('Cabinet member',)",11/10/22,"('48325781850-28',)",MEDICINES FOR EUROPE,Brussels,will follow
11995,"['Cabinet of Commissioner Thierry Breton', 'Cabinet of President Ursula von der Leyen']",[],"('Thierry Breton', 'Fabrice Comptour', 'Ursula von der Leyen')","('Commissioner', 'Cabinet member', 'President')",11/10/22,"('7459401905-60',)",Intel Corporation,BERL -Bruxelles,chips
11996,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Michele Piergiovanni', 'Margrethe Vestager', 'Christiane Canenbley', 'Pierre-Arnaud Proux')","('Cabinet member', 'Executive Vice-President', 'Cabinet member', 'Cabinet member')",11/10/22,"('7459401905-60',)",Intel Corporation,Brussels,competition policies
12015,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman', 'Patricia Reilly', 'Katherine Power', 'Florian Denis')","('Cabinet member', 'Cabinet member', 'Cabinet member', 'Cabinet member')",11/14/22,"('2732167674-76',)",Airbus,"Brussels, Belgium",introductory meeting
12016,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Elena Montani',)","('Cabinet member',)",11/14/22,"('2732167674-76',)",Airbus,Virtual,revision of the reach regulation
12034,['Cabinet of President Ursula von der Leyen'],[],"('Anthony Whelan',)","('Cabinet member',)",11/15/22,"('234896947959-56',)",Infobip Ltd.,Brussels,digital transition
12035,['Cabinet of Vice-President Dubravka Šuica'],[],"('Dubravka Šuica',)","('Vice-President',)",11/15/22,"('234896947959-56',)",Infobip Ltd.,Brussels,investment in talents
12036,[],"['Communications Networks, Content and Technology']","('Roberto Viola',)","('Director-General',)",11/15/22,"('234896947959-56',)",Infobip Ltd.,Brussels,presentation by infobip
12047,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",11/15/22,"('547225616323-13',)",Tesla Motors Netherlands B.V.,Brussels,energy shortage
12048,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Pierre-Arnaud Proux', 'Stina Soewarta', 'Alejandro Cainzos')","('Cabinet member', 'Cabinet member', 'Cabinet member')",11/15/22,"('547225616323-13',)",Tesla Motors Netherlands B.V.,Brussels,"presentation of the company, ira and sustainable energy, ipcei."
12059,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",11/15/22,"('84973761187-60',)",EuroCommerce,Brussels,digital priorities for the eu and the us.
12060,['Cabinet of Commissioner Thierry Breton'],[],"('Maurits-Jan Prinz',)","('Cabinet member',)",11/15/22,"('84973761187-60',)",EuroCommerce,Brussels,"eu digital policy, including data and ai"
12061,['Cabinet of Commissioner Thierry Breton'],[],"('Joan Canton',)","('Cabinet member',)",11/15/22,"('862207842633-83',)",Neo Performance Materials Inc,"Brussels, Belgium",preparation of the critical preparation of the critical raw materials act act
12062,['Cabinet of President Ursula von der Leyen'],[],"('Anthony Whelan',)","('Cabinet member',)",11/15/22,"('862207842633-83',)",Neo Performance Materials Inc,Brussels,preparation of the critical raw materials act
12065,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Pim Lescrauwaet',)","('Cabinet member',)",11/15/22,"('950920645824-76',)",Signum Global Advisors,Brussels,"economic governance review, recovery and resilience facility, macroeconomic policy, energy policy"
12066,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman',)","('Cabinet member',)",11/15/22,"('950920645824-76',)",Signum Global Advisors,Brussels,overview of financial services policies
12068,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Stina Soewarta', 'Pierre-Arnaud Proux')","('Cabinet member', 'Cabinet member')",11/15/22,"('992490647231-71',)",Eumicon AISBL,Brussels,"current political issues, industry policy."
12069,['Cabinet of President Ursula von der Leyen'],[],"('Anthony Whelan',)","('Cabinet member',)",11/15/22,"('992490647231-71',)",Eumicon AISBL,Brussels,sustainable mining and critical raw materials act
12070,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",11/15/22,"('992490647231-71',)",Eumicon AISBL,Brussels,sustainable mining and critical sustainable mining and critical raw materials act act
12079,['Cabinet of Commissioner Thierry Breton'],[],"('Maurits-Jan Prinz',)","('Cabinet member',)",11/16/22,"('234896947959-56',)",Infobip Ltd.,brussels,"eu policies on industrial data and cloud, data act"
12080,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",11/16/22,"('234896947959-56',)",Infobip Ltd.,Brussels,"presentation of the company, presentation of eu digital policies."
12086,['Cabinet of Commissioner Janez Lenarčič'],[],"('Janez Lenarčič', 'Jasna Pajnkihar')","('Commissioner', 'Cabinet member')",11/16/22,"('394469847966-60',)",Danish Refugee Council Brussels,"Brussels, Belgium","ethiopia and broader horn of africa region, food security, ukraine, alnap state of the humanitarian system 2022 report"
12087,['Cabinet of Commissioner Ylva Johansson'],[],"('Giulio Di Blasi',)","('Cabinet member',)",11/16/22,"('394469847966-60',)",Danish Refugee Council Brussels,Berlaymont,strategic engagement and how institutions might develop more regular dialogue in support of collective efforts to support conflict affected communities.
12092,['Cabinet of Commissioner Olivér Várhelyi'],[],"('Szabolcs Horvath',)","('Cabinet member',)",11/16/22,"('540503836926-15',)",World Justice Project,BERL ,"results of wjp's results of wjp's rule of law index 2022, learning more about eu current work and activities, and exchange on the rule of law situation in the eu as well as other relevant countries. 2022, learning more about eu current work and activities, and exchange on the rule of law situation in the eu as well as other relevant countries."
12093,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Sandra Bartelt',)","('Cabinet member',)",11/16/22,"('540503836926-15',)",World Justice Project,"Brussels, Belgium","results of wjp's rule of law index 2022, learning more about eu current work and activities, and exchange on the rule of law situation in the eu as well as other relevant countries."
12139,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",11/17/22,"('9171899949-17',)",JPMorgan Chase & Co.,Brussels,"capital market union, aifmd review"
12140,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Florian Denis', 'Patricia Reilly')","('Cabinet member', 'Cabinet member')",11/17/22,"('9171899949-17',)",JPMorgan Chase & Co.,Brussels,priorities for the financial services industry
12167,['Cabinet of Commissioner Ylva Johansson'],[],"('Monika Maglione', 'Ylva Johansson')","('Cabinet member', 'Commissioner')",11/22/22,"('03181945560-59',)",Google,VTC,exchange of views on csa
12168,['Cabinet of Commissioner Ylva Johansson'],[],"('Ylva Johansson',)","('Commissioner',)",11/22/22,"('03181945560-59',)",Google,VTC,"meeting with mr kent walker, on csa proposal, the eu internet forum on 7/12, the implementation of the tco and digital security more broadly"
12180,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Agnieszka Drzewoska',)","('Cabinet member',)",11/22/22,"('9505781573-45',)",Bureau Européen des Unions de Consommateurs,Virtual Meeting,retail investment strategy and our both names
12181,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello',)","('Cabinet member',)",11/22/22,"('9505781573-45',)",Bureau Européen des Unions de Consommateurs,Video call,retail investment strategy and our both names and our both names
12217,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Penelope Papandropoulos', 'Werner Stengg')","('Cabinet member', 'Cabinet member')",11/25/22,"('18574111503-28',)",Association of Commercial Television and Video on Demand Services in Europe,Brussels,"dsa,dma, piracy."
12218,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová',)","('Vice-President',)",11/25/22,"('18574111503-28',)",Association of Commercial Television and Video on Demand Services in Europe,Brussels,"european media freedom act, political advertising"
12231,['Cabinet of High Representative Josep Borrell Fontelles'],[],"('Anne Bergenfelt',)","('Cabinet member',)",11/28/22,"('07783117686-61',)",Third Generation Environmentalism Ltd,"Brussels, Belgium",climate diplomacy
12232,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Diederik Samsom',)","('Cabinet member',)",11/28/22,"('07783117686-61',)",Third Generation Environmentalism Ltd,Brussels,cop28
12276,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Christiane Canenbley',)","('Cabinet member',)",11/30/22,"('098297335667-27',)",CSC – IT CENTER FOR SCIENCE LTD.,Brussels,"presentation of the company, digital policy."
12277,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",11/30/22,"('098297335667-27',)",CSC – IT CENTER FOR SCIENCE LTD.,Brussels,sustainable data centres
12294,[],['Directorate-General for International Partnerships'],"('Koen Doens',)","('Director-General',)",11/30/22,"('46302264606-44',)",Schneider Electric,Brussels,"access to energy, global gateway initiative, energy transition"
12295,['Cabinet of Commissioner Nicolas Schmit'],[],"('Anouk Faber', 'Christoph Nerlich')","('Cabinet member', 'Cabinet member')",11/30/22,"('46302264606-44',)",Schneider Electric,Brussels ,meeting on the european year of skills
