TR Name,Category of registration,Degree,Hypercoreness_False,Hypercoreness_sub_False,Hypercoreness_True,Hypercoreness_sub_True,Hypercoreness_G_False,Hypercoreness_G_sub_False,Hypercoreness_G_True,Hypercoreness_G_sub_True,TR Country,Members FTE,Assets,Revenue,Nb employees,NACE,Level Sub-National,Level Global,Level European,Level National,Level Regional/Local
Lightyear,Companies and groups,4.0,0.0780863164938106,,0.0111580051958318,,0.0833333333333333,,0.016,,NETHERLANDS,3.25,,,,K - Financial and insurance activities,0,1,1,1,0
Bureau Européen des Unions de Consommateurs,"Non-governmental organisations, platforms and networks and similar",126.0,0.90114929344103,0.813111737042392,0.244776148682348,0.261879981209657,0.888888888888889,0.84375,0.332,0.422680412371134,BELGIUM,27.75,,,,,0,0,1,0,0
Friends of Europe,Think tanks and research institutions,31.0,0.512555879494655,0.328402047293817,0.0914698044617693,0.0868921945863247,0.694444444444444,0.40625,0.148,0.164948453608247,BELGIUM,34.75,,,,,0,1,1,0,0
Workday,Companies and groups,17.0,0.402815243193296,0.0879634245642023,0.0668523508037944,0.0182384322723583,0.444444444444444,0.125,0.096,0.0412371134020619,UNITED STATES,3.75,13486238.0,6215818.0,17700.0,J - Information and communication,1,1,1,1,0
Google,Companies and groups,142.0,0.865228695693734,0.582180484238164,0.255633646911492,0.22276031749306,0.833333333333333,0.65625,0.364,0.278350515463918,UNITED STATES,7.15,,160000000.0,118000.0,J - Information and communication,0,1,0,0,0
EUROPEAN TRADE UNION CONFEDERATION,Trade unions and professional associations,141.0,0.995015055202409,0.786432108612925,0.413328797447578,0.519622533689827,0.888888888888889,0.84375,0.66,0.835051546391753,BELGIUM,11.75,,,,,0,0,1,0,0
Deutscher Gewerkschaftsbund,Trade unions and professional associations,15.0,0.490088897385652,0.505084999252206,0.0947600122227716,0.131887621957536,0.777777777777778,0.84375,0.184,0.278350515463918,GERMANY,9.0,,,,,1,1,1,1,0
Österreichischer Gewerkschaftsbund,Trade unions and professional associations,9.0,0.263972820978509,0.278108745866361,0.0578613570054017,0.0851020558183389,0.777777777777778,0.84375,0.136,0.278350515463918,AUSTRIA,4.25,,,,,1,1,1,1,0
Bundesarbeitskammer Österreich,Trade unions and professional associations,3.0,0.144406633847919,0.135853399139206,0.0240142858604733,0.0278143451045922,0.277777777777778,0.15625,0.04,0.0515463917525773,AUSTRIA,6.0,,,,,1,1,1,1,0
EuropeanIssuers,Trade and business associations,14.0,0.377860886743456,0.0678726922246041,0.0732212376692258,0.0581273942008899,0.305555555555556,0.09375,0.112,0.123711340206186,BELGIUM,4.75,,,,,0,0,1,0,0
Samsung Electronics Europe,Companies and groups,12.0,0.237704918032787,,0.0391001492369037,,0.277777777777778,,0.056,,UNITED KINGDOM,9.0,353842413.871079,238484454.574957,,C - Manufacturing,0,1,1,0,0
European University Hospital Alliance,"Non-governmental organisations, platforms and networks and similar",2.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,BELGIUM,0.5,,,,,0,0,1,0,0
Land- en Tuinbouw Organisatie Nederland,Trade and business associations,12.0,0.176401726967133,0.115762666799608,0.0444656438348922,0.0241077613824564,0.222222222222222,0.09375,0.064,0.0515463917525773,NETHERLANDS,2.7,,,,,0,1,1,1,0
"Housing Europe - European Federation for Public, Cooperative and Social Housing","Non-governmental organisations, platforms and networks and similar",13.0,0.424869282607657,0.403268690695781,0.0770341517737485,0.0984709165442293,0.666666666666667,0.40625,0.144,0.185567010309278,BELGIUM,9.5,,,,,0,0,1,0,0
Europa Nostra,"Non-governmental organisations, platforms and networks and similar",17.0,0.222967547674808,,0.0447027173605657,,0.277777777777778,,0.064,,NETHERLANDS,10.0,,,,,0,0,1,0,0
FedEx Express Belgium International BVBA (FedEx),Companies and groups,4.0,0.140609377240358,0.155040547052861,0.0217144545456452,0.0431259356247779,0.361111111111111,0.28125,0.052,0.0927835051546392,UNITED STATES,5.0,,340.0,2.0,H - Transportation and storage,0,1,1,1,1
Robert Bosch GmbH,Companies and groups,44.0,0.85796714938903,0.541552420359938,0.189493128593659,0.216497523669145,0.833333333333333,0.5625,0.284,0.371134020618557,GERMANY,14.05,106923398.899436,98824708.9850903,413811.0,C - Manufacturing,1,1,1,1,0
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,Think tanks and research institutions,3.0,0.0780863164938106,,0.0083685038968738,,0.0833333333333333,,0.012,,FRANCE,4.0,,,,,0,1,1,1,1
AJC Transatlantic Institute,"Non-governmental organisations, platforms and networks and similar",7.0,0.168547372110437,,0.0252790626647013,,0.138888888888889,,0.04,,BELGIUM,4.75,,,,,0,1,1,0,0
WWF European Policy Programme,"Non-governmental organisations, platforms and networks and similar",117.0,0.945158438082493,0.978613091380428,0.253637450900309,0.429573964544167,0.888888888888889,0.75,0.356,0.65979381443299,BELGIUM,24.0,,,,,0,1,1,0,0
